company_id,old_company_id
hubspot-989784907,hubspot-2882044065
harvest-9115060,hubspot-2934578658
harvest-9115060,hubspot-2793831069
harvest-9025414,hubspot-2745047698
hubspot-863101867,hubspot-1687228876
hubspot-863101867,hubspot-2533305217
hubspot-911697487,harvest-8966965
hubspot-2806657907,hubspot-1234736197
harvest-7661274,hubspot-1153732021
harvest-7661274,hubspot-874607221
harvest-7661274,hubspot-874795932
harvest-7661274,hubspot-820321154
hubspot-1092861715,harvest-7615079
hubspot-1711667284,harvest-7639423
hubspot-1711667284,hubspot-838049999
harvest-8969646,hubspot-1025456775
hubspot-2238022579,hubspot-820559344
hubspot-821744503,xero-2a14811a-3774-44dc-9d92-fa5137cfb201
hubspot-1805474628,xero-15e17c11-c939-42c0-91ba-6622ce7c92f1
hubspot-1805474628,xero-d346b312-576e-444c-91cb-66c9c197c74f
hubspot-1805474628,xero-47f84557-c750-46e9-9f74-c1059e9df36e
xero-7f992360-e79b-4fd7-80ea-69230aba5af0,xero-04975021-b2d4-4d8d-82b8-bd2c5baa6cbd
hubspot-1241882261,xero-822092f2-edf0-49d6-9bbb-a9e20ff4c460
hubspot-1241882261,xero-930d9bd6-17d5-4bcb-85e1-ebec16237190
hubspot-911697487,xero-1520cfaf-1d98-42b9-be24-a9e414f987fc
xero-4e4bb1e2-c4a1-4732-b18b-1ea745a307c4,xero-c83bc7a1-4062-4505-b9cb-ade4a9e94e47
xero-4e4bb1e2-c4a1-4732-b18b-1ea745a307c4,xero-346bcfee-f05b-4ec0-977d-6b316ac7ea51
hubspot-1153732021,xero-b9e77456-95d2-4d24-b7c3-0205a8316b6d
xero-98fcba9f-5660-4e42-90b0-1f073089d4af,xero-a86813c0-f4c2-4065-980d-3bfbb4df099a
xero-98fcba9f-5660-4e42-90b0-1f073089d4af,hubspot-2502556945
hubspot-1092861715,xero-76b1bdd5-46f9-4667-89e1-5750462284a5
hubspot-1092861715,xero-33707a75-c2aa-4987-a6b4-7cc70c3275e8
hubspot-1052374482,xero-cee57c05-c465-443d-9388-f58e9cc42d43
hubspot-834771307,hubspot-834719773
hubspot-1234735921,xero-f343d1aa-c0d7-4286-a1f0-d0b256368c7d
hubspot-820559344,xero-6164936d-e2d5-48b2-80f8-37dd3a8827aa
hubspot-2005851841,xero-4b1ddc8a-9c36-4bd2-8816-b4c262435e54
hubspot-1778804098,xero-b224b60c-919f-4d43-8d42-fe4a54fbbfd9
hubspot-2666849679,xero-03c6e3b8-383d-4987-8b67-2ecd969b84a6
hubspot-2191042055,harvest-8391309
hubspot-2191042055,xero-8777450d-709c-4b8c-8db3-7423761b3429
xero-223d077a-3a6b-43bb-8bdc-85c2e2ccc06f,xero-9bc874f5-70b2-443a-ade6-574dc166a9ba
hubspot-990776224,xero-606e8a71-a161-4d82-a514-27134916e209
xero-48672424-4d40-45dc-b43c-22b5948145c6,xero-eca891da-bd33-41be-81ba-7f12553e9916
hubspot-2506097515,harvest-8871539
hubspot-2506097515,xero-5b292977-f79c-404b-b3ce-598e60dfbf26
hubspot-2506097515,looker-11fs
hubspot-2656017945,jira-Bidlogix
harvest-9098522,hubspot-2914414835
hubspot-1687228876,jira-Florence_GCP_Migration
hubspot-1687228876,jira-Florence_Support
harvest-8566857,xero-133d19d1-921d-4bfa-8d3d-56bb7398bb8e
hubspot-1091417115,hubspot-2503147209
hubspot-2506097515,jira-11:FS_Pulse_2
hubspot-2506097515,jira-11:FS_Support
hubspot-2934578658,jira-KLICK
hubspot-2488812204,jira-Lithko
hubspot-2530950084,jira-LiveBetterWith
xero-a5f1c827-a20d-49e6-ba1f-e24c1c31fa54,xero-18246fd7-204f-44a9-9ac6-743d4dcb8dae
hubspot-838049999,jira-Rittman_Analytics_Client_Support
hubspot-1700738872,xero-14169aa5-8f2d-4e02-bbd7-ba9cf87b5858
hubspot-2854034299,hubspot-2735898796
hubspot-863101867,looker-florence
hubspot-2758404356,hubspot-3093272966
hubspot-2758404356,looker-fluentu
hubspot-863101867,looker-ncf
hubspot-820771980,looker-qubit-bi
hubspot-820771980,looker-qubit-livetap
hubspot-820771980,jira-Qubit_Support
hubspot-820771980,jira-Qubit_Astron
hubspot-820771980,jira-Qubit_Support
harvest-8566857,jira-Funda.nl_dbt_Development
