company_name,company_website,CompanyName,Address,City,State,Zip,County,Country,Website,PhoneNumber,FaxNumber,SICCode,IndustryName,6DigitSICCode,NAICSCode,NAICSDescription,LinkedInIndustryName,StockTicker,Revenue,NumberEmployees,YrFounded,AlexaRank,CompanyLinkedIn,CompanyFacebook,CompanyTwitter,CompanyInstagram,CompanyYelp,CompanyYouTube,CompanyCrunchbase,LeadSource
"General Dynamics Information Technology, Inc",gdit.com,"General Dynamics Information Technology, Inc.",3211 Jermantown Rd Ste 700,Fairfax,VA,22030,Fairfax City,United States,gdit.com,(703) 995-8700,(757) 424-1765,73,"Business Services, Information Technology And Services",511207,5415,Computer Systems Design and Related Services,Information Technology And Services,"",Over $1 Billion,"Over 10,000",1952,84334,https://www.linkedin.com/company/1905,https://www.facebook.com/GeneralDynamicsIT,https://twitter.com/GenDyn_IT,https://www.instagram.com/generaldynamics/,,https://www.youtube.com/user/GDC4Systems,,UpLead
Company.com,company.com,Company.com,590 Mimosa 3340 Peachtree Rd Ne Ste #1010,Atlanta,GA,30326,Dekalb,United States,company.com,(770) 992-1678,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",539901,5418,"Advertising, Public Relations, and Related Services",Computer Software,"",$10 Million - $50 Million,10 to 50,2009,264229,https://www.linkedin.com/company/company-com,,https://twitter.com/companydotcom,,,,https://www.crunchbase.com/organization/company-com,UpLead
Confluent,confluent.io,Confluent Inc.,756 California Ave Ste A,Mountain View,CA,94041,Santa Clara,United States,confluent.io,(630) 414-1006,"",7372,"Prepackaged Software, Computer Software",737299,5112,Software Publishers,Computer Software,"",$10 Million - $50 Million,50 to 200,2014,23109,https://www.linkedin.com/company/confluent,https://www.facebook.com/confluentinc,https://twitter.com/ConfluentInc,,,,https://www.crunchbase.com/organization/confluent,UpLead
General Electric,ge.com,General Electric Company,41 Farnsworth St,Boston,MA,02210-1236,Suffolk,United States,ge.com,(617) 443-3000,(203) 373-3131,36,"Electronic & Other Electrical Equipment & Components, Electrical/Electronic Manufacturing",738943,522220,Sales Financing,Electrical/Electronic Manufacturing,GE,Over $1 Billion,"Over 10,000",1892,11051,https://www.linkedin.com/company/ge,https://www.facebook.com/GE,https://twitter.com/generalelectric,http://instagram.com/generalelectric,http://www.yelp.com/biz/ge-company-fairfield-2,https://youtube.com/user/GE,https://www.crunchbase.com/organization/general-electric,UpLead
Measurelab,measurelab.co.uk,Measurelab,,Lewes,east sussex,"","","",measurelab.co.uk,441273470615,"","",Internet,,"",,Internet,"","","",2013,,https://www.linkedin.com/company/3151584,"","","","","","",UpLead
Rebtel,rebtel.com,Rebtel Networks AB,Jakobsbergsgatan 16,Stockholm,,,"",Sweden,rebtel.com,46 8 51 90 61 00,"",7372,"Prepackaged Software, Telecommunications",481311,5112,Software Publishers,Telecommunications,"",$10 Million - $50 Million,50 to 200,2006,80421,https://www.linkedin.com/company/rebtel,,https://twitter.com/Rebtel,,,https://youtube.com/user/RebtelNetworks,http://www.crunchbase.com/organization/rebtel,UpLead
Teamwork,teamwork.com,Teamwork.com,North Point House North Point Business Park,Blackpool,Cork,,"",Ireland,teamwork.com,,"",7372,"Prepackaged Software, Computer Software",,5112,Software Publishers,Computer Software,"",$1 Million - $10 Million,50 to 200,2007,2973,https://www.linkedin.com/company/teamwork-com,https://www.facebook.com/TeamworkPM,https://twitter.com/teamwork,,,,,UpLead
Solutions,solutions-inc.co.uk,Solutions Inc. Limited,255 Old Shoreham Rd,Hove,,BN3 7ED,"",United Kingdom,solutions-inc.co.uk,44 12 7320 0825,"",80,"Health Services, Information Technology And Services",,453,Miscellaneous Store Retailers,Information Technology And Services,"","","",1992,,,,,,,,,UpLead
Quaff Ltd,quaffwine.com,Quaff Fine Wine Merchant Ltd.,139 141 Portland Rd Hove,East Sussex,,BN3 5QJ,,United Kingdom,quaffwine.com,,,2084,"Wines, Brandy, And Brandy Spirits, Food & Beverages",,31213,Wineries,Food & Beverages,,"","",2005,,https://www.linkedin.com/company/quaff-fine-wine-merchant-ltd-,,https://twitter.com/quaffwine,,,,,UpLead
Robert Harding Computers,rh-computers.com,Robert Harding Computers Ltd,65 A Sackville Rd,Hove,East Sussex,BN3 3WE,,United Kingdom,rh-computers.com,+44 1273 728827,,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,,Under $1 Million,1 to 10,1981,,https://www.linkedin.com/company/robert-harding-computers-ltd,,,,,,,UpLead
